date,month,weekday,entry_hour,return,ticker,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,if_price_max,if_vol_max,zero_vol_mins_count,if_vol_count_zero,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,if_entry_after_3pm,if_entry_before_10am
2023-01-04,2023-01,2,9,0.14677103718198425,UTAA,09:51:00,10.22,15:59:00,10.235,99.85,310.12,0,1,15.0,0,1,1,1,1,0,1
2023-01-04,2023-01,2,9,-1.0,HAYW,09:42:00,10.85,09:44:00,10.7415,98.33,70.54,0,0,0.0,1,1,1,1,1,0,1
2023-01-04,2023-01,2,15,-0.35183293610260163,OPY,15:21:00,44.055,15:59:00,43.9,96.12,77.02,0,0,274.0,0,1,0,1,1,1,0
2023-01-04,2023-01,2,11,3.0,IAG,11:04:00,2.5901,11:32:00,2.6678029999999997,95.4,71.32,0,0,0.0,1,1,1,1,1,0,0
2023-01-04,2023-01,2,12,0.0,ARC,12:25:00,2.975,14:01:00,2.975,96.59,76.21,0,0,106.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,15,0.2349256068911477,IDCC,15:58:00,57.465,15:59:00,57.63,101.59,71.85,1,0,96.0,0,1,1,1,1,1,0
2023-01-04,2023-01,2,14,-1.0,CDRO,14:06:00,2.9055,14:13:00,2.876445,96.21,80.21,0,0,257.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,9,0.0,VVOS,09:30:00,2.17,09:40:00,2.17,243.82,1695.9,1,1,0.0,1,1,1,1,0,0,1
2023-01-04,2023-01,2,15,-1.0,OFIX,15:53:00,23.005,15:56:00,22.77495,104.87,92.07,1,0,9.0,0,1,1,1,1,1,0
2023-01-04,2023-01,2,15,-0.07404664938912671,COLL,15:58:00,27.01,15:59:00,27.01,110.88,77.02,1,0,46.0,0,1,1,1,1,1,0
2023-01-04,2023-01,2,10,,VYNE,10:24:00,5.382000000000001,10:25:00,,99.67,587.05,0,1,22.0,0,1,1,0,1,0,0
2023-01-04,2023-01,2,14,0.07334066740007178,AVNS,14:38:00,27.27,15:59:00,27.33,97.39,78.0,0,0,129.0,0,1,0,1,1,0,0
2023-01-04,2023-01,2,13,3.0,JEF,13:15:00,35.5091,13:20:00,36.574373,95.49,141.72,0,1,2.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,9,-1.0,GERN,09:31:00,3.4994,09:32:00,3.464406,104.06,103.56,1,1,0.0,1,1,1,1,1,0,1
2023-01-04,2023-01,2,15,0.09596928982725324,GOGN,15:27:00,10.42,15:59:00,10.43,95.16,82.73,0,0,333.0,0,1,1,1,1,1,0
2023-01-04,2023-01,2,15,0.04769854519437903,WPM,15:55:00,41.93,15:59:00,41.95,101.22,73.34,1,0,0.0,1,1,1,1,1,1,0
2023-01-04,2023-01,2,15,3.0,EFTR,15:32:00,0.6704,15:34:00,0.690512,97.27,141.25,0,1,132.0,0,0,1,0,1,1,0
2023-01-04,2023-01,2,10,0.0,CSTA,10:32:00,10.135,15:59:00,10.135,100.05,72.89,1,0,56.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,10,-1.0,PRAX,10:39:00,2.625,10:56:00,2.59875,96.34,75.0,0,0,13.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,14,3.0,ACIW,14:50:00,24.79,15:05:00,25.5337,102.09,70.93,1,0,39.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,9,0.0,GNPX,09:36:00,1.72,09:38:00,1.72,104.19,77.55,1,0,0.0,1,1,1,1,1,0,1
2023-01-04,2023-01,2,9,-1.0,ELYM,09:56:00,3.98,10:03:00,3.9402,102.58,70.72,1,0,13.0,0,1,1,1,1,0,1
2023-01-04,2023-01,2,9,-1.0,CRKN,09:41:00,0.5299,09:42:00,0.524601,112.96,71.1,1,0,0.0,1,0,0,1,1,0,1
