,symbol,date,time,symbol_date,order,weekday,after_3_pm,high_current_or_close_check,nine_days_close_check,if_exceed_previous_high,moving_volume,previous_volume_max,volume_ratio,entry_price,previous_high,open_price,open_ratio,amount,if_larger_20m,close,close_ratio,next_1_day_close,next_1_day_close_ratio,next_2_days_close,next_2_days_close_ratio,next_1_week_close,next_1_week_close_ratio,same_day_high,same_day_high_ratio,if_current_to_open_too_high
167,RBBN,2020/11/17,,RBBN2020/11/17,,2,1,1,1,0,342729,198972,1.722498643,5.3,4.95,4.83,9.730848861,1816463.7,0,,,5.76,8.679245283,5.79,9.245283019,6.32,19.24528302,,,0
168,ATKR,2020/11/17,,ATKR2020/11/17,,2,1,1,1,0,305170,230875,1.321797509,29.8,28.73,28.58,4.268719384,9094066,0,,,31.04,4.161073826,34.15,14.59731544,38.63,29.63087248,,,0
169,CASH,2020/11/17,,CASH2020/11/17,,2,1,1,1,0,154171,111454,1.383270228,34.43,35.78,34,1.264705882,5308107.53,0,,,34.07,-1.045599768,34.49,0.174266628,36,4.559976764,,,0
170,ESNT,2020/11/17,,ESNT2020/11/17,,2,1,1,1,0,703582,462571,1.521024881,46.13,46.77,45.08,2.329192547,32456237.66,1,,,45.34,-1.712551485,45.64,-1.062215478,46.26,0.28181227,,,0
171,FMC,2020/11/17,,FMC2020/11/17,,2,1,1,1,0,497137,286289,1.736486557,115.69,115.905,111.8,3.479427549,57513779.53,1,,,115.27,-0.363039156,115.32,-0.319820209,118.24,2.204166307,,,0
172,GLIBA,2020/11/17,,GLIBA2020/11/17,,2,1,1,1,0,482539,256892,1.878373013,89.0839,90.57,87.84,1.41609745,42986456.02,1,,,90.75,1.870259385,91.18,2.352950421,91.48,2.689711609,,,0
173,IAA,2020/11/17,,IAA2020/11/17,,2,1,1,1,0,796581,468262,1.701143804,60.79,64.98,60.21,0.963295134,48424158.99,1,,,61.84,1.727257773,60.77,-0.032900148,59.55,-2.039809179,,,0
174,VRTS,2020/11/17,,VRTS2020/11/17,,2,1,1,1,0,30885,22620,1.365384615,190.69,189.78,185.11,3.014423856,5889460.65,0,,,182.92,-4.074676176,197.4,3.518800147,183.75,-3.639414757,,,0
175,AVYA,2020/11/18,,AVYA2020/11/18,0,3,0,,1,0,1629790,924350,1.763174122,18.49,19.86,17.39,6.325474411,30134817.1,1,18.06,-2.325581395,16.41,-11.24932396,16.56,-10.43807463,18.85,1.946998378,18.57,0.432666306,0
176,SM,2020/11/18,,SM2020/11/18,0,3,0,,1,0,4949348,3674462,1.346958548,3.58,3.25,3.38,5.917159763,17718665.84,0,3.13,-12.5698324,3.43,-4.189944134,3.62,1.117318436,4.68,30.72625698,3.84,7.262569832,0
177,TGT,2020/11/18,,TGT2020/11/18,1,3,0,,1,1,2360295,1799506,1.311634971,168.305,167.42,165.7,1.572118286,397249450,1,166.85,-0.864501946,171.37,1.821098601,172.31,2.379608449,179.82,6.84174564,172.1217,2.267728231,0
178,MARA,2020/11/18,,MARA2020/11/18,0,3,0,,1,0,6241520,4419198,1.412364868,3.2984,3.3,3.45,-4.394202899,20587029.57,1,2.89,-12.38176085,3.09,-6.318214892,3.39,2.77710405,5.12,55.22677662,3.51,6.415231627,0
179,BA,2020/11/18,,BA2020/11/18,0,3,0,,1,0,17598443,12159799,1.447264301,218.76,215.95,222.29,-1.588015655,3849835391,1,203.3,-7.067105504,205.67,-5.983726458,199.62,-8.749314317,217.61,-0.525690254,223.02,1.94733955,0
180,PCG,2020/11/18,,PCG2020/11/18,0,3,0,,1,0,9392114,6986120,1.344396317,12.265,11.92,12.105,1.321767865,115194278.2,1,12.65,3.139013453,12.29,0.203832042,12.66,3.22054627,12.64,3.057480636,12.855,4.810436201,0
181,ANH,2020/11/18,,ANH2020/11/18,0,3,0,,1,0,734056,539437,1.360781704,2.18,2.14,2.13,2.34741784,1600242.08,0,2.2,0.917431193,2.2,0.917431193,2.23,2.293577982,2.28,4.587155963,2.28,4.587155963,0
182,FCPT,2020/11/18,,FCPT2020/11/18,0,3,0,,1,0,627148,336280,1.864957773,29.39,30.1853,29.17,0.75419952,18431879.72,0,28.25,-3.878870364,28.21,-4.014971079,28.21,-4.014971079,28.69,-2.381762504,29.59,0.680503573,0
183,ICFI,2020/11/18,,ICFI2020/11/18,0,3,0,,1,0,156151,52109,2.996622464,76.42,77,76.09,0.433696938,11933059.42,0,74.23,-2.865741952,72.8,-4.736979848,73.36,-4.004187386,75.17,-1.635697461,77.465,1.367443078,0
184,LSCC,2020/11/18,,LSCC2020/11/18,0,3,0,,1,0,711848,402112,1.770272959,40.97,41.87,41.65,-1.632653061,29164412.56,1,39.8,-2.855748108,40.62,-0.854283622,40.1,-2.123505004,41.03,0.146448621,41.72,1.830607762,0
185,SHYF,2020/11/18,,SHYF2020/11/18,0,3,0,,1,0,97024,55653,1.743374122,25.395,25.57,25.38,0.059101655,2463924.48,0,24.53,-3.406182319,24.42,-3.839338452,25.41,0.059066745,25.8,1.594802126,26.62,4.823784209,0
186,BDGE,2020/11/18,,BDGE2020/11/18,0,3,0,,1,0,64734,44930,1.440774538,21.36,22.45,21.99,-2.864938608,1382718.24,0,21.07,-1.357677903,21.52,0.74906367,21.79,2.013108614,24.29,13.71722846,21.99,2.949438202,0
187,VFC,2020/11/18,,VFC2020/11/18,0,3,0,,1,0,1936154,1376848,1.406222038,86.01,85.83,85.305,0.826446281,166528605.5,1,85.56,-0.523194977,84.96,-1.22078828,84.87,-1.325427276,87.57,1.813742588,86.91,1.046389955,0
188,FDP,2020/11/18,,FDP2020/11/18,0,3,0,,1,0,412626,108332,3.808902263,23.45,25.29,23.88,-1.800670017,9676079.7,0,24.09,2.729211087,24.35,3.837953092,24.1,2.771855011,25.17,7.334754797,24.3,3.624733475,0
189,HZO,2020/11/18,,HZO2020/11/18,0,3,0,,1,0,350935,190838,1.83891573,34.21,33.8,31.89,7.275007839,12005486.35,0,33.14,-3.127740427,33.54,-1.958491669,32.53,-4.910844782,33.64,-1.66617948,35.19,2.864659456,0
