return,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,zero_vol_mins_count,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,ticker
-0.15045135406219226,2022-12-07 13:08:00,9.97,2022-12-07 15:59:00,9.97,99.9,83.28,0,1,1,1,1,EMLD
0.32602585722315014,2022-12-07 13:28:00,44.475,2022-12-07 15:59:00,44.649,97.12,74.74,0,1,1,1,1,BK
-0.14771048744462115,2022-12-07 13:31:00,33.85,2022-12-07 15:59:00,33.8,95.14,71.2,0,1,1,1,1,MOFG
-1.0,2022-12-07 13:33:00,22.07,2022-12-07 15:49:00,21.8493,99.62,74.32,0,1,1,1,1,BVH
0.0,2022-12-07 13:44:00,151.001,2022-12-07 14:02:00,151.001,102.89,81.44,0,1,1,1,1,USLM
-0.4229510813183314,2022-12-07 14:05:00,125.31,2022-12-07 15:59:00,124.83,96.5,97.22,0,1,1,1,1,CNI
-0.372538584353381,2022-12-07 14:08:00,9.395,2022-12-07 15:59:00,9.375,96.06,85.79,0,1,0,1,1,NETI
,2022-12-07 14:41:00,1.9101,2022-12-07 14:42:00,,98.48,243.15,0,1,1,0,1,NXGL
-1.0,2022-12-07 14:45:00,22.89,2022-12-07 15:25:00,22.6611,96.26,156.21,0,1,0,1,1,MYE
0.09009746908018627,2022-12-07 15:00:00,122.09,2022-12-07 15:59:00,122.385,96.47,70.12,0,1,0,1,1,ATKR
0.4873044370351314,2022-12-07 15:44:00,19.495,2022-12-07 15:59:00,19.59,98.21,71.19,0,1,1,1,1,BWMN
0.07655795437145484,2022-12-07 15:55:00,32.655,2022-12-07 15:59:00,32.72,97.29,257.9,0,1,1,1,1,RENN
,2022-12-08 09:30:00,2.03,2022-12-08 09:31:00,,139.86,195.62,0,1,1,1,0,EXPR
0.0,2022-12-08 09:33:00,51.22,2022-12-08 09:35:00,51.22,106.57,84.78,0,1,1,1,1,CIEN
,2022-12-08 09:33:00,7.92,2022-12-08 09:34:00,,95.22,416.8,0,1,1,0,1,MYSZ
-1.0,2022-12-08 09:34:00,6.66,2022-12-08 09:36:00,6.5934,107.58,78.68,0,1,1,1,1,MOMO
-1.0,2022-12-08 09:36:00,1.8015,2022-12-08 09:37:00,1.783485,108.33,76.76,0,1,1,1,1,TUYA
-1.0,2022-12-08 09:36:00,33.325,2022-12-08 09:37:00,32.99175,97.17,72.76,0,1,1,1,1,MMYT
3.0,2022-12-08 09:37:00,3.12,2022-12-08 09:39:00,3.2136,107.52,71.77,0,1,1,1,1,KWE
-1.0,2022-12-08 09:38:00,1.9991,2022-12-08 09:39:00,1.979109,109.29,72.32,0,1,1,1,1,TOUR
0.0,2022-12-08 09:39:00,11.5,2022-12-08 09:41:00,11.5,111.71,74.07,0,1,1,1,1,MLCO
3.0,2022-12-08 09:41:00,23.5809,2022-12-08 09:51:00,24.288327,102.32,73.0,0,1,1,1,1,BILI
-1.0,2022-12-08 09:54:00,2.115,2022-12-08 09:57:00,2.09385,95.52,99.85,0,1,1,1,1,BKSY
0.0,2022-12-08 10:00:00,23.99,2022-12-08 12:37:00,23.99,101.13,102.32,0,1,1,1,1,KE
-1.0,2022-12-08 10:23:00,7.62,2022-12-08 10:41:00,7.5438,103.25,70.48,0,1,1,1,1,FANH
-1.0,2022-12-08 11:41:00,0.87,2022-12-08 11:49:00,0.8613,97.27,73.23,0,0,1,1,1,PLAG
-1.0,2022-12-08 11:45:00,52.12,2022-12-08 14:02:00,51.5988,96.59,105.09,0,1,0,1,1,KBR
0.0,2022-12-08 12:12:00,6.825,2022-12-08 13:15:00,6.825,97.02,71.0,0,1,0,1,1,SILV
0.0,2022-12-08 12:31:00,10.0,2022-12-08 15:59:00,10.0,100.0,103.52,0,1,1,1,1,JUGG
-1.0,2022-12-08 12:47:00,52.44,2022-12-08 14:06:00,51.9156,95.26,127.06,0,1,0,1,1,RUSHA
0.0,2022-12-08 13:01:00,12.9491,2022-12-08 13:03:00,12.9491,102.88,98.11,0,1,1,1,1,MBI
-0.049975012493760934,2022-12-08 13:16:00,10.005,2022-12-08 15:59:00,10.0,99.95,88.35,0,1,1,1,1,NSTD
,2022-12-08 13:19:00,9.39,2022-12-08 13:20:00,,99.87,439.99,0,1,1,0,1,PHVS
0.24423337856172672,2022-12-08 13:30:00,36.85,2022-12-08 15:59:00,36.94,95.24,197.18,0,1,1,1,1,PLBC
