Symbol,Company Name,Industry,Market Cap
BALY,Bally's,Resorts & Casinos,911242400
BAM,Brookfield Asset Management,Asset Management,13487248916
BANC,Banc of California,Banks - Regional,733626488
BAND,Bandwidth,Software - Infrastructure,386724450
BANF,BancFirst,Banks - Regional,2733242100
BANL,CBL International,Energy,237500000
BANR,Banner,Banks - Regional,1859133217
BANX,ArrowMark Financial,Asset Management,127847340
BAOS,Baosheng Media Group Holdings,Advertising Agencies,5487330
BAP,Credicorp,Banks - Regional,10559625515
BARK,"BARK, Inc.",Specialty Retail,256989300
BASE,Couchbase,Software - Infrastructure,635108478
BATL,Battalion Oil,Oil & Gas E&P,107385336
BAX,Baxter International,Medical Instruments & Supplies,20504013204
BB,BlackBerry,Software - Infrastructure,2646377687
BBAI,BigBear.ai Holdings,Information Technology Services,344413300
BBAR,Banco BBVA Argentina,Banks - Regional,942983373
BBBY,Bed Bath & Beyond,Specialty Retail,49936561
BBCP,Concrete Pumping Holdings,Engineering & Construction,376788000
BBD,Banco Bradesco,Banks - Regional,27882562826
BBDC,Barings BDC,Credit Services,856853040
BBDO,Banco Bradesco,Banks - Regional,25115590943
BBGI,Beasley Broadcast Group,Broadcasting,24230835
BBIG,Vinco Ventures,Leisure,79999844
BBIO,BridgeBio Pharma,Biotechnology,2656066127
BBLG,Bone Biologics,Medical Devices,3955567
BBLN,Babylon Holdings,Health Information Services,126541472
BBSI,Barrett Business Services,Staffing & Employment Services,609524096
BBU,Brookfield Business Partners L.P.,Conglomerates,1389284676
BBUC,Brookfield Business,Asset Management,1445970161
BBVA,Banco Bilbao Vizcaya Argentaria,Banks - Diversified,42389041613
BBW,Build-A-Bear Workshop,Specialty Retail,342799296
BBWI,Bath & Body Works,Specialty Retail,8368260280
BBY,Best Buy Co.,Specialty Retail,17066460420
BC,Brunswick,Recreational Vehicles,5844460128
BCAB,BioAtla,Biotechnology,127587028
BCAN,BYND Cannasoft Enterprises,Software - Infrastructure,85243275
BCBP,BCB Bancorp,Banks - Regional,221986284
BCC,Boise Cascade Company,Building Materials,2505680375
BCDA,BioCardia,Biotechnology,39088725
BCE,BCE Inc.,Telecom Services,40855600535
BCEL,Atreca,Biotechnology,44536836
